id;long_deg;lat_deg;Time_s_AVG;Relevage;Actif/passif;traction;patinage
29720;4.390783333;50.54062778;35045.82021;30.8;1;630;8.5
30062;4.394136111;50.54145556;35387.80308;30.8;1;630;3.2
63027;4.387697222;50.53959722;115606.8174;30.8;1;630;8
28454;4.388597222;50.53994444;33779.86397;30.8;1;650;6.4
24323;4.393638889;50.54088333;29649.05867;30.8;1;675;3.1
25735;4.394427778;50.54117778;31060.99912;30.8;1;675;2.7
25805;4.392263889;50.54068056;31131.02157;30.8;1;675;5.4
26294;4.391969444;50.54065556;31619.99585;30.8;1;675;4.3
28448;4.388388889;50.53989444;33773.87086;30.8;1;675;8
28469;4.389144444;50.54008333;33794.87743;30.8;1;675;5.6
28788;4.390394444;50.54045556;34113.86205;30.8;1;675;2.4
29154;4.393608333;50.54125833;34479.84807;30.8;1;675;2.2
30163;4.391005556;50.54073889;35488.78667;30.8;1;675;5.5
30164;4.390975;50.54073056;35489.78793;30.8;1;675;5
31051;4.393208333;50.541325;36376.70423;30.8;1;675;2.6
63099;4.3878;50.53872222;115678.7817;30.8;1;675;9.4
26229;4.393961111;50.54113611;31555.02469;30.8;1;720;5.8
27866;4.390702778;50.54045278;33191.93458;30.8;1;720;6.3
29147;4.393827778;50.54131111;34472.8251;30.8;1;720;5.2
29413;4.389519444;50.54028056;34738.85333;30.8;1;720;7.4
29891;4.389813889;50.540375;35216.78448;30.8;1;720;3.2
30129;4.392055556;50.54098611;35454.79828;30.8;1;720;1.6
31092;4.391944444;50.54102778;36417.7242;30.8;1;750;6
29376;4.388152778;50.53994167;34701.85466;30.8;1;765;5.272727273
29711;4.391047222;50.54069167;35036.80517;30.8;1;765;8.8
29733;4.390394444;50.54053611;35058.80304;30.8;1;765;7.3
30143;4.391619444;50.54088889;35468.78758;30.8;1;765;3.4
63162;4.387802778;50.53793056;115741.8014;30.8;1;765;6.3
28458;4.388744444;50.53998056;33783.85306;30.8;1;810;5.7
28749;4.391580556;50.54074722;34074.87096;30.8;1;810;6.5
30583;4.392672222;50.54113889;35908.77359;30.8;1;810;4.8
31156;4.389986111;50.54055556;36481.72302;30.8;1;810;5.1
31159;4.389894444;50.54053333;36484.76057;30.8;1;810;5.222222222
62993;4.387672222;50.53991944;115572.7956;30.8;1;810;19
29695;4.391530556;50.54080556;35020.84145;30.8;1;850;2.9
28765;4.391097222;50.54063611;34090.86197;30.8;1;855;7
29647;4.393002778;50.54115278;34972.81445;30.8;1;855;2.5
31087;4.392097222;50.54106389;36412.73711;30.8;1;855;6.9
31153;4.390072222;50.54058056;36478.71627;30.8;1;855;4.4
26482;4.388863889;50.53988056;31807.98856;30.8;1;859.0909091;1.6
28666;4.394147222;50.54133889;33991.89309;30.8;1;859.0909091;5.9
24321;4.393711111;50.5409;29647.0535;30.8;1;900;7.3
24342;4.39295;50.54071389;29668.04507;30.8;1;900;5.5
25742;4.394213889;50.54112222;31068.02071;30.8;1;900;2.2
25797;4.392513889;50.54074167;31123.00836;30.8;1;900;4.6
26250;4.393322222;50.54097222;31576.02402;30.8;1;900;3.2
26290;4.392091667;50.54068611;31615.98492;30.8;1;900;7.2
28452;4.388525;50.53992778;33777.87985;30.8;1;900;6
28465;4.389002778;50.54004722;33790.86521;30.8;1;900;5.7
28663;4.394247222;50.54135278;33988.9137;30.8;1;900;4.1
28743;4.391766667;50.54079167;34068.90397;30.8;1;900;4.3
29742;4.390119444;50.54047778;35067.81911;30.8;1;900;8.1
29762;4.389527778;50.54032222;35087.81503;30.8;1;900;8.5
30054;4.394372222;50.54150278;35379.78695;30.8;1;900;6.4
30139;4.391738889;50.54091944;35464.78097;30.8;1;900;4.5
31026;4.394011111;50.54149444;36351.73696;30.8;1;900;3.8
31078;4.392363889;50.54112778;36403.71576;30.8;1;900;7.8
62996;4.387669444;50.53988611;115575.7993;30.8;1;900;16.8
63036;4.387722222;50.53949722;115615.7855;30.8;1;900;2.7
25741;4.394244444;50.54113056;31067.01822;30.8;1;945;3.1
25831;4.391447222;50.540475;31157.01554;30.8;1;945;3.4
26259;4.393041667;50.54090833;31585.00708;30.8;1;945;4.4
29139;4.394077778;50.54136111;34464.87475;30.8;1;945;2.909090909
29374;4.388080556;50.53992222;34699.82723;30.8;1;945;4.4
29615;4.393994444;50.54138889;34940.83205;30.8;1;945;5.7
29622;4.393780556;50.54133611;34947.84559;30.8;1;945;6.1
29625;4.393686111;50.54131667;34950.85323;30.8;1;945;5.1
29677;4.392083333;50.54093889;35002.82556;30.8;1;945;2.2
29723;4.390694444;50.54060833;35048.82634;30.8;1;945;8
24329;4.393422222;50.54082778;29655.1133;30.8;1;990;6.7
24346;4.392802778;50.54067778;29672.07852;30.8;1;990;4.090909091
25753;4.393825;50.54103889;31079.00359;30.8;1;990;6.4
26221;4.394211111;50.54118889;31547.00737;30.8;1;990;1.6
29163;4.393330556;50.54118333;34488.81649;30.8;1;990;5.1
29208;4.391905556;50.54088056;34533.86441;30.8;1;990;6.444444444
29369;4.387922222;50.53987222;34694.81758;30.8;1;990;4.8
29856;4.388513889;50.54006667;35181.78737;30.8;1;990;6.9
30065;4.394036111;50.54143889;35390.80753;30.8;1;990;5.3
29690;4.391683333;50.54084444;35015.83033;30.8;1;1000;4.7
30657;4.390408333;50.54060556;35982.75661;30.8;1;1035;2.8
63072;4.387769444;50.53906667;115651.7717;30.8;1;1035;4
29146;4.393861111;50.54131667;34471.84477;30.8;1;1050;4.1
29610;4.394155556;50.54141667;34935.84458;30.8;1;1050;3.3
25738;4.394341667;50.54115556;31064.00589;30.8;1;1080;4
28662;4.394277778;50.54136111;33987.90542;30.8;1;1080;2.1
29787;4.388763889;50.54012778;35112.82025;30.8;1;1080;6.1
30141;4.391680556;50.54090278;35466.78311;30.8;1;1080;3.3
31085;4.392155556;50.54107778;36410.73138;30.8;1;1080;5
62992;4.387672222;50.53993056;115571.7946;30.8;1;1080;17
28763;4.391155556;50.54064722;34088.8792;30.8;1;1100;7.6
30067;4.393975;50.54143056;35392.78734;30.8;1;1100;4.5
24318;4.393805556;50.54092222;29644.04684;30.8;1;1125;4.8
24376;4.391769444;50.54043611;29702.12832;30.8;1;1125;5.8
24377;4.391738889;50.54042778;29703.10685;30.8;1;1125;5.333333333
25764;4.393530556;50.54098889;31090.03333;30.8;1;1125;1.8
25784;4.392925;50.54083611;31110.02776;30.8;1;1125;3.5
26322;4.391105556;50.54044444;31648.01548;30.8;1;1125;4.8
27758;4.394097222;50.54123611;33083.92443;30.8;1;1125;1.8
28732;4.392108333;50.54087222;34057.87985;30.8;1;1125;2.8
30136;4.391830556;50.54093889;35461.77022;30.8;1;1125;5.5
30148;4.391472222;50.54085;35473.80008;30.8;1;1125;1.8
